row_index,date,category,amount_eur,note,is_daily,source_sheet
0,2025-12-01,Квартира,66.5,жіночка,False,Грудень 2025
1,2025-12-01,Мама+котянчики,476.19,,False,Грудень 2025
2,2025-12-01,Мама+котянчики,117.86,котянчики,False,Грудень 2025
3,2025-12-01,Одяг,58.64,подушки,True,Грудень 2025
4,2025-12-01,Продукти,43.44,,True,Грудень 2025
5,2025-12-01,Продукти,9.76,,True,Грудень 2025
6,2025-12-01,Проїзд,7.82,,True,Грудень 2025
7,2025-12-01,Підписки,23.25,телефон Коля,False,Грудень 2025
8,2025-12-01,Підписки,63.64,PS (з Колянчиком),False,Грудень 2025
9,2025-12-01,Сигарети,12.71,,True,Грудень 2025
10,2025-12-01,Солодке,39.86,цукерки желейні,True,Грудень 2025
11,2025-12-01,Хоббі,2.15,голки,True,Грудень 2025
12,2025-12-01,івенти (квитки),425.39,квитки на Океан ельзи,False,Грудень 2025
13,2025-12-02,Масаж,195.58,,False,Грудень 2025
14,2025-12-02,Продукти,32.86,лідл,True,Грудень 2025
15,2025-12-02,Проїзд,1.96,,True,Грудень 2025
16,2025-12-02,Сигарети,25.43,,True,Грудень 2025
17,2025-12-02,Таксі,17.6,,True,Грудень 2025
18,2025-12-02,Таксі,9.19,,True,Грудень 2025
19,2025-12-03,Сигарети,25.43,,True,Грудень 2025
20,2025-12-04,Іжа на виніс,15.45,скара,True,Грудень 2025
21,2025-12-04,Одяг,87.39,"джинси+спортівки, хендик",True,Грудень 2025
22,2025-12-04,Продукти,70.84,Булмаг,True,Грудень 2025
23,2025-12-04,Продукти,82.05,[обчислено з формули],True,Грудень 2025
24,2025-12-04,Сигарети,25.43,,True,Грудень 2025
25,2025-12-05,Іжа в закладі,35.2,какао+десерт з Соньою,True,Грудень 2025
26,2025-12-05,Квартира,1858.04,,False,Грудень 2025
27,2025-12-05,Продукти,24.39,лідл,True,Грудень 2025
28,2025-12-05,Продукти,17.17,лідл,True,Грудень 2025
29,2025-12-05,Проїзд,1.96,,True,Грудень 2025
30,2025-12-05,Сигарети,25.43,,True,Грудень 2025
31,2025-12-05,Таксі,10.95,,True,Грудень 2025
32,2025-12-06,Іжа в закладі,9.12,"корндоги, чіпси [розподілено з «потусити»]",True,Грудень 2025
33,2025-12-06,Іжа в закладі,1.31,"корндоги, чіпси [розподілено з «потусити»]",True,Грудень 2025
34,2025-12-06,Іжа в закладі,1.05,"корндоги, чіпси [розподілено з «потусити»]",True,Грудень 2025
35,2025-12-06,Іжа в закладі,1.31,"корндоги, чіпси [розподілено з «потусити»]",True,Грудень 2025
36,2025-12-06,Алкоголь,20.48,пиво,True,Грудень 2025
37,2025-12-06,Алкоголь,9.12,"корндоги, чіпси [розподілено з «потусити»]",True,Грудень 2025
38,2025-12-06,Алкоголь,1.29,"корндоги, чіпси [розподілено з «потусити»]",True,Грудень 2025
39,2025-12-06,Алкоголь,1.03,"корндоги, чіпси [розподілено з «потусити»]",True,Грудень 2025
40,2025-12-06,Алкоголь,1.29,"корндоги, чіпси [розподілено з «потусити»]",True,Грудень 2025
41,2025-12-06,Продукти,30.1,Булмаг [обчислено з формули],True,Грудень 2025
42,2025-12-06,Продукти,64.31,дм молоко+матча,True,Грудень 2025
43,2025-12-06,Сигарети,25.43,,True,Грудень 2025
44,2025-12-06,Снеки,9.12,"корндоги, чіпси [розподілено з «потусити»]",True,Грудень 2025
45,2025-12-06,Снеки,1.29,"корндоги, чіпси [розподілено з «потусити»]",True,Грудень 2025
46,2025-12-06,Снеки,1.03,"корндоги, чіпси [розподілено з «потусити»]",True,Грудень 2025
47,2025-12-06,Снеки,1.29,"корндоги, чіпси [розподілено з «потусити»]",True,Грудень 2025
48,2025-12-07,Подарунки,117.82,Златі миколайчика,False,Грудень 2025
49,2025-12-07,Продукти,13.83,лідл,True,Грудень 2025
50,2025-12-07,Продукти,10.93,Булмаг(овочі+капуста кисело),True,Грудень 2025
51,2025-12-07,Продукти,5.85,Булмаг(овочі+капуста кисело),True,Грудень 2025
52,2025-12-07,Проїзд,1.96,,True,Грудень 2025
53,2025-12-07,Сигарети,25.43,,True,Грудень 2025
54,2025-12-07,Снеки,9.33,,True,Грудень 2025
55,2025-12-07,Таксі,16.82,,True,Грудень 2025
56,2025-12-07,Хімія,10.72,,True,Грудень 2025
57,2025-12-08,Продукти,34.95,,True,Грудень 2025
58,2025-12-08,Проїзд,3.91,,True,Грудень 2025
59,2025-12-08,Сигарети,25.43,,True,Грудень 2025
60,2025-12-09,Квартира,45.12,Інтернет,False,Грудень 2025
61,2025-12-09,Квартира,90.55,Вода,False,Грудень 2025
62,2025-12-09,Квартира,184.14,Світло,False,Грудень 2025
63,2025-12-09,Масаж,195.58,,False,Грудень 2025
64,2025-12-09,Продукти,49.76,лідл [обчислено з формули],True,Грудень 2025
65,2025-12-09,Проїзд,1.96,,True,Грудень 2025
66,2025-12-09,Підписки,23.2,Телефон мені,False,Грудень 2025
67,2025-12-09,Підписки,19.68,Телефон болгарський,False,Грудень 2025
68,2025-12-09,Сигарети,25.43,,True,Грудень 2025
69,2025-12-09,Таксі,13.3,,True,Грудень 2025
70,2025-12-10,Продукти,6.08,лідл [обчислено з формули],True,Грудень 2025
71,2025-12-10,Сигарети,25.43,,True,Грудень 2025
72,2025-12-10,Солодке,37.14,панетоне,True,Грудень 2025
73,2025-12-10,Хоббі,7.82,земля для вазонів,True,Грудень 2025
74,2025-12-11,Іжа в закладі,62.55,рамен з Кольою,True,Грудень 2025
75,2025-12-11,Проїзд,3.91,,True,Грудень 2025
76,2025-12-11,Сигарети,25.43,,True,Грудень 2025
77,2025-12-12,Іжа в закладі,13.69,фреш (з дівчатами),True,Грудень 2025
78,2025-12-12,Іжа на виніс,44.01,дьонер,True,Грудень 2025
79,2025-12-12,Алкоголь,31.27,,True,Грудень 2025
80,2025-12-12,Алкоголь,27.28,,True,Грудень 2025
81,2025-12-12,Продукти,41.6,,True,Грудень 2025
82,2025-12-12,Проїзд,1.96,,True,Грудень 2025
83,2025-12-12,Снеки,20.48,,True,Грудень 2025
84,2025-12-12,Таксі,13.1,,True,Грудень 2025
85,2025-12-12,Хімія,7.57,,True,Грудень 2025
86,2025-12-12,Хімія,16.7,,True,Грудень 2025
87,2025-12-13,Подорожі,3.89,снеки в поїздку,False,Грудень 2025
88,2025-12-13,Подорожі,10.74,снеки в поїздку,False,Грудень 2025
89,2025-12-13,Продукти,46.86,молоко (4шт з запасом),True,Грудень 2025
90,2025-12-13,Продукти,26.09,,True,Грудень 2025
91,2025-12-13,Продукти,12.4,,True,Грудень 2025
92,2025-12-13,Продукти,11.7,,True,Грудень 2025
93,2025-12-13,Продукти,24.62,,True,Грудень 2025
94,2025-12-13,Проїзд,3.91,,True,Грудень 2025
95,2025-12-13,Сигарети,25.43,,True,Грудень 2025
96,2025-12-13,Снеки,3.11,,True,Грудень 2025
97,2025-12-13,Снеки,3.89,,True,Грудень 2025
98,2025-12-13,Снеки,3.11,,True,Грудень 2025
99,2025-12-13,Солодке,12.3,,True,Грудень 2025
100,2025-12-13,Таксі,21.91,,True,Грудень 2025
101,2025-12-14,Іжа на виніс,9.58,берізка,True,Грудень 2025
102,2025-12-14,Іжа на виніс,25.23,берізка,True,Грудень 2025
103,2025-12-14,Іжа на виніс,-7.57,берізка,True,Грудень 2025
104,2025-12-14,Іжа на виніс,4.09,берізка,True,Грудень 2025
105,2025-12-14,Продукти,23.27,,True,Грудень 2025
106,2025-12-14,Продукти,15.63,,True,Грудень 2025
107,2025-12-14,Продукти,37.26,[обчислено з формули],True,Грудень 2025
108,2025-12-14,Сигарети,25.43,,True,Грудень 2025
109,2025-12-14,Снеки,7.8,,True,Грудень 2025
110,2025-12-14,Таксі,10.13,,True,Грудень 2025
111,2025-12-15,Продукти,4.09,,True,Грудень 2025
112,2025-12-15,Продукти,11.52,,True,Грудень 2025
113,2025-12-15,Продукти,2.15,,True,Грудень 2025
114,2025-12-15,Сигарети,25.43,,True,Грудень 2025
115,2025-12-15,Снеки,8.39,,True,Грудень 2025
116,2025-12-15,Снеки,4.87,,True,Грудень 2025
117,2025-12-15,Солодке,5.07,,True,Грудень 2025
118,2025-12-15,Солодке,13.67,,True,Грудень 2025
119,2025-12-15,Солодке,5.07,,True,Грудень 2025
120,2025-12-16,Іжа на виніс,40.09,,True,Грудень 2025
121,2025-12-16,Іжа на виніс,31.1,суші,True,Грудень 2025
122,2025-12-16,Продукти,15.63,,True,Грудень 2025
123,2025-12-16,Продукти,19.71,[обчислено з формули],True,Грудень 2025
124,2025-12-16,Сигарети,25.43,,True,Грудень 2025
125,2025-12-16,Снеки,5.67,,True,Грудень 2025
126,2025-12-16,Снеки,19.54,,True,Грудень 2025
127,2025-12-16,Солодке,10.74,,True,Грудень 2025
128,2025-12-16,Солодке,10.74,,True,Грудень 2025
